idx;t_us;evt;core;prio;task_id;aux
0;220768;2;0;1;0;0
1;220776;1;0;0;0;0
2;220980;3;0;0;0;0
3;221980;3;0;0;0;0
4;222980;3;0;0;0;0
5;223980;3;0;0;0;0
6;224980;3;0;0;0;0
7;225980;3;0;0;0;0
8;226980;3;0;0;0;0
9;227980;3;0;0;0;0
10;228980;3;0;0;0;0
11;229980;3;0;0;0;0
12;230980;3;0;0;0;0
13;231980;3;0;0;0;0
14;232980;3;0;0;0;0
15;233980;3;0;0;0;0
16;234980;3;0;0;0;0
17;235980;3;0;0;0;0
18;236980;3;0;0;0;0
19;237982;3;0;0;0;0
20;237990;2;0;0;0;0
21;237998;1;0;1;1;0
22;238979;3;0;1;1;0
23;239981;3;0;1;1;0
24;240979;3;0;1;1;0
25;241979;3;0;1;1;0
26;242979;3;0;1;1;0
27;243979;3;0;1;1;0
28;244979;3;0;1;1;0
29;245979;3;0;1;1;0
30;246979;3;0;1;1;0
31;247979;3;0;1;1;0
32;248979;3;0;1;1;0
33;249979;3;0;1;1;0
34;250979;3;0;1;1;0
35;251979;3;0;1;1;0
36;252979;3;0;1;1;0
37;253979;3;0;1;1;0
38;254979;3;0;1;1;0
39;255979;3;0;1;1;0
40;256979;3;0;1;1;0
41;257979;3;0;1;1;0
42;258979;3;0;1;1;0
43;259979;3;0;1;1;0
44;260979;3;0;1;1;0
45;261979;3;0;1;1;0
46;262979;3;0;1;1;0
47;263979;3;0;1;1;0
48;264979;3;0;1;1;0
49;265979;3;0;1;1;0
50;266979;3;0;1;1;0
51;267979;3;0;1;1;0
52;268616;2;0;1;1;0
53;268624;1;0;1;0;0
54;268643;2;0;1;0;0
55;268651;1;0;0;0;0
56;268980;3;0;0;0;0
57;269980;3;0;0;0;0
58;270980;3;0;0;0;0
59;271980;3;0;0;0;0
60;272980;3;0;0;0;0
61;273980;3;0;0;0;0
62;274980;3;0;0;0;0
63;275980;3;0;0;0;0
64;276980;3;0;0;0;0
65;277980;3;0;0;0;0
66;278980;3;0;0;0;0
67;279980;3;0;0;0;0
68;280980;3;0;0;0;0
69;281980;3;0;0;0;0
70;282980;3;0;0;0;0
71;283980;3;0;0;0;0
72;284980;3;0;0;0;0
73;285980;3;0;0;0;0
74;286980;3;0;0;0;0
75;287982;3;0;0;0;0
76;287990;2;0;0;0;0
77;287998;1;0;1;0;0
78;288017;2;0;1;0;0
79;288025;1;0;0;0;0
80;288980;3;0;0;0;0
81;289980;3;0;0;0;0
82;290980;3;0;0;0;0
83;291980;3;0;0;0;0
84;292980;3;0;0;0;0
85;293980;3;0;0;0;0
86;294980;3;0;0;0;0
87;295980;3;0;0;0;0
88;296980;3;0;0;0;0
89;297980;3;0;0;0;0
90;298980;3;0;0;0;0
91;299980;3;0;0;0;0
92;300980;3;0;0;0;0
93;301980;3;0;0;0;0
94;302980;3;0;0;0;0
95;303980;3;0;0;0;0
96;304980;3;0;0;0;0
97;305980;3;0;0;0;0
98;306980;3;0;0;0;0
99;307982;3;0;0;0;0
100;307990;2;0;0;0;0
101;307998;1;0;1;0;0
102;308017;2;0;1;0;0
103;308025;1;0;0;0;0
104;308980;3;0;0;0;0
105;309980;3;0;0;0;0
106;310980;3;0;0;0;0
107;311980;3;0;0;0;0
108;312980;3;0;0;0;0
109;313980;3;0;0;0;0
110;314980;3;0;0;0;0
111;315980;3;0;0;0;0
112;316980;3;0;0;0;0
113;317980;3;0;0;0;0
114;318980;3;0;0;0;0
115;319980;3;0;0;0;0
116;320980;3;0;0;0;0
117;321980;3;0;0;0;0
118;322980;3;0;0;0;0
119;323980;3;0;0;0;0
120;324980;3;0;0;0;0
121;325980;3;0;0;0;0
122;326980;3;0;0;0;0
123;327982;3;0;0;0;0
124;327990;2;0;0;0;0
125;327998;1;0;1;0;0
126;328017;2;0;1;0;0
127;328026;1;0;0;0;0
128;328980;3;0;0;0;0
129;329980;3;0;0;0;0
130;330980;3;0;0;0;0
131;331980;3;0;0;0;0
132;332980;3;0;0;0;0
133;333980;3;0;0;0;0
134;334980;3;0;0;0;0
135;335980;3;0;0;0;0
136;336980;3;0;0;0;0
137;337982;3;0;0;0;0
138;337990;2;0;0;0;0
139;337998;1;0;1;1;0
140;338979;3;0;1;1;0
141;339979;3;0;1;1;0
142;340979;3;0;1;1;0
143;341979;3;0;1;1;0
144;342979;3;0;1;1;0
145;343979;3;0;1;1;0
146;344979;3;0;1;1;0
147;345979;3;0;1;1;0
148;346979;3;0;1;1;0
149;347981;3;0;1;1;0
150;348979;3;0;1;1;0
151;349979;3;0;1;1;0
152;350979;3;0;1;1;0
153;351979;3;0;1;1;0
154;352979;3;0;1;1;0
155;353979;3;0;1;1;0
156;354979;3;0;1;1;0
157;355979;3;0;1;1;0
158;356979;3;0;1;1;0
159;357979;3;0;1;1;0
160;358979;3;0;1;1;0
161;359979;3;0;1;1;0
162;360979;3;0;1;1;0
163;361979;3;0;1;1;0
164;362979;3;0;1;1;0
165;363979;3;0;1;1;0
166;364979;3;0;1;1;0
167;365979;3;0;1;1;0
168;366979;3;0;1;1;0
169;367979;3;0;1;1;0
170;368618;2;0;1;1;0
171;368625;1;0;1;0;0
172;368644;2;0;1;0;0
173;368653;1;0;0;0;0
174;368980;3;0;0;0;0
175;369980;3;0;0;0;0
176;370980;3;0;0;0;0
177;371980;3;0;0;0;0
178;372980;3;0;0;0;0
179;373980;3;0;0;0;0
180;374980;3;0;0;0;0
181;375980;3;0;0;0;0
182;376980;3;0;0;0;0
183;377980;3;0;0;0;0
184;378980;3;0;0;0;0
185;379980;3;0;0;0;0
186;380980;3;0;0;0;0
187;381980;3;0;0;0;0
188;382980;3;0;0;0;0
189;383980;3;0;0;0;0
190;384980;3;0;0;0;0
191;385980;3;0;0;0;0
192;386980;3;0;0;0;0
193;387982;3;0;0;0;0
194;387990;2;0;0;0;0
195;387998;1;0;1;0;0
196;388017;2;0;1;0;0
197;388025;1;0;0;0;0
198;388980;3;0;0;0;0
199;389980;3;0;0;0;0
200;390980;3;0;0;0;0
201;391980;3;0;0;0;0
202;392980;3;0;0;0;0
203;393980;3;0;0;0;0
204;394980;3;0;0;0;0
205;395980;3;0;0;0;0
206;396980;3;0;0;0;0
207;397980;3;0;0;0;0
208;398980;3;0;0;0;0
209;399980;3;0;0;0;0
210;400980;3;0;0;0;0
211;401980;3;0;0;0;0
212;402980;3;0;0;0;0
213;403980;3;0;0;0;0
214;404980;3;0;0;0;0
215;405980;3;0;0;0;0
216;406980;3;0;0;0;0
217;407982;3;0;0;0;0
218;407990;2;0;0;0;0
219;407998;1;0;1;0;0
220;408017;2;0;1;0;0
221;408025;1;0;0;0;0
222;408980;3;0;0;0;0
223;409980;3;0;0;0;0
224;410980;3;0;0;0;0
225;411980;3;0;0;0;0
226;412980;3;0;0;0;0
227;413980;3;0;0;0;0
228;414980;3;0;0;0;0
229;415980;3;0;0;0;0
230;416980;3;0;0;0;0
231;417980;3;0;0;0;0
232;418980;3;0;0;0;0
233;419980;3;0;0;0;0
234;420980;3;0;0;0;0
235;421980;3;0;0;0;0
236;422980;3;0;0;0;0
237;423980;3;0;0;0;0
238;424980;3;0;0;0;0
239;425980;3;0;0;0;0
240;426980;3;0;0;0;0
241;427982;3;0;0;0;0
242;427990;2;0;0;0;0
243;427998;1;0;1;0;0
244;428017;2;0;1;0;0
245;428026;1;0;0;0;0
246;428980;3;0;0;0;0
247;429980;3;0;0;0;0
248;430980;3;0;0;0;0
249;431980;3;0;0;0;0
250;432980;3;0;0;0;0
251;433980;3;0;0;0;0
252;434980;3;0;0;0;0
253;435980;3;0;0;0;0
254;436980;3;0;0;0;0
255;437982;3;0;0;0;0
256;437990;2;0;0;0;0
257;437998;1;0;1;1;0
258;438979;3;0;1;1;0
259;439979;3;0;1;1;0
260;440979;3;0;1;1;0
261;441979;3;0;1;1;0
262;442979;3;0;1;1;0
263;443979;3;0;1;1;0
264;444979;3;0;1;1;0
265;445979;3;0;1;1;0
266;446979;3;0;1;1;0
267;447981;3;0;1;1;0
268;448979;3;0;1;1;0
269;449979;3;0;1;1;0
270;450979;3;0;1;1;0
271;451979;3;0;1;1;0
272;452979;3;0;1;1;0
273;453979;3;0;1;1;0
274;454979;3;0;1;1;0
275;455979;3;0;1;1;0
276;456979;3;0;1;1;0
277;457979;3;0;1;1;0
278;458979;3;0;1;1;0
279;459979;3;0;1;1;0
280;460979;3;0;1;1;0
281;461979;3;0;1;1;0
282;462979;3;0;1;1;0
283;463979;3;0;1;1;0
284;464979;3;0;1;1;0
285;465979;3;0;1;1;0
286;466979;3;0;1;1;0
287;467979;3;0;1;1;0
288;468618;2;0;1;1;0
289;468625;1;0;1;0;0
290;468644;2;0;1;0;0
291;468653;1;0;0;0;0
292;468980;3;0;0;0;0
293;469980;3;0;0;0;0
294;470980;3;0;0;0;0
295;471980;3;0;0;0;0
296;472980;3;0;0;0;0
297;473980;3;0;0;0;0
298;474980;3;0;0;0;0
299;475980;3;0;0;0;0
300;476980;3;0;0;0;0
301;477980;3;0;0;0;0
302;478980;3;0;0;0;0
303;479980;3;0;0;0;0
304;480980;3;0;0;0;0
305;481980;3;0;0;0;0
306;482980;3;0;0;0;0
307;483980;3;0;0;0;0
308;484980;3;0;0;0;0
309;485980;3;0;0;0;0
310;486980;3;0;0;0;0
311;487982;3;0;0;0;0
312;487990;2;0;0;0;0
313;487998;1;0;1;0;0
314;488017;2;0;1;0;0
315;488025;1;0;0;0;0
316;488980;3;0;0;0;0
317;489980;3;0;0;0;0
318;490980;3;0;0;0;0
319;491980;3;0;0;0;0
320;492980;3;0;0;0;0
321;493980;3;0;0;0;0
322;494980;3;0;0;0;0
323;495980;3;0;0;0;0
324;496980;3;0;0;0;0
325;497980;3;0;0;0;0
326;498980;3;0;0;0;0
327;499980;3;0;0;0;0
328;500980;3;0;0;0;0
329;501980;3;0;0;0;0
330;502980;3;0;0;0;0
331;503980;3;0;0;0;0
332;504980;3;0;0;0;0
333;505980;3;0;0;0;0
334;506980;3;0;0;0;0
335;507982;3;0;0;0;0
336;507990;2;0;0;0;0
337;507998;1;0;1;0;0
338;508017;2;0;1;0;0
339;508025;1;0;0;0;0
340;508980;3;0;0;0;0
341;509980;3;0;0;0;0
342;510980;3;0;0;0;0
343;511980;3;0;0;0;0
344;512980;3;0;0;0;0
345;513980;3;0;0;0;0
346;514980;3;0;0;0;0
347;515980;3;0;0;0;0
348;516980;3;0;0;0;0
349;517980;3;0;0;0;0
350;518980;3;0;0;0;0
351;519980;3;0;0;0;0
352;520980;3;0;0;0;0
353;521980;3;0;0;0;0
354;522980;3;0;0;0;0
355;523980;3;0;0;0;0
356;524980;3;0;0;0;0
357;525980;3;0;0;0;0
358;526980;3;0;0;0;0
359;527982;3;0;0;0;0
360;527990;2;0;0;0;0
361;527998;1;0;1;0;0
362;528017;2;0;1;0;0
363;528026;1;0;0;0;0
364;528980;3;0;0;0;0
365;529980;3;0;0;0;0
366;530980;3;0;0;0;0
367;531980;3;0;0;0;0
368;532980;3;0;0;0;0
369;533980;3;0;0;0;0
370;534980;3;0;0;0;0
371;535980;3;0;0;0;0
372;536980;3;0;0;0;0
373;537982;3;0;0;0;0
374;537990;2;0;0;0;0
375;537998;1;0;1;1;0
376;538979;3;0;1;1;0
377;539979;3;0;1;1;0
378;540979;3;0;1;1;0
379;541979;3;0;1;1;0
380;542979;3;0;1;1;0
381;543979;3;0;1;1;0
382;544979;3;0;1;1;0
383;545979;3;0;1;1;0
384;546979;3;0;1;1;0
385;547981;3;0;1;1;0
386;548979;3;0;1;1;0
387;549979;3;0;1;1;0
388;550979;3;0;1;1;0
389;551979;3;0;1;1;0
390;552979;3;0;1;1;0
391;553979;3;0;1;1;0
392;554979;3;0;1;1;0
393;555979;3;0;1;1;0
394;556979;3;0;1;1;0
395;557979;3;0;1;1;0
396;558979;3;0;1;1;0
397;559979;3;0;1;1;0
398;560979;3;0;1;1;0
399;561979;3;0;1;1;0
400;562979;3;0;1;1;0
401;563979;3;0;1;1;0
402;564979;3;0;1;1;0
403;565979;3;0;1;1;0
404;566979;3;0;1;1;0
405;567979;3;0;1;1;0
406;568618;2;0;1;1;0
407;568626;1;0;1;0;0
408;568645;2;0;1;0;0
409;568653;1;0;0;0;0
410;568982;3;0;0;0;0
411;568990;2;0;0;0;0
412;568998;1;0;1;2;0
413;569979;3;0;1;2;0
414;570979;3;0;1;2;0
415;571979;3;0;1;2;0
416;572979;3;0;1;2;0
417;573979;3;0;1;2;0
418;574979;3;0;1;2;0
419;575979;3;0;1;2;0
420;576979;3;0;1;2;0
421;577979;3;0;1;2;0
422;578979;3;0;1;2;0
423;579979;3;0;1;2;0
424;580979;3;0;1;2;0
425;581979;3;0;1;2;0
426;582979;3;0;1;2;0
427;583979;3;0;1;2;0
428;584979;3;0;1;2;0
429;585979;3;0;1;2;0
430;586979;3;0;1;2;0
431;587981;3;0;1;2;0
432;588979;3;0;1;2;0
433;589979;3;0;1;2;0
434;590979;3;0;1;2;0
435;591979;3;0;1;2;0
436;592979;3;0;1;2;0
437;593979;3;0;1;2;0
438;594979;3;0;1;2;0
439;595979;3;0;1;2;0
440;596979;3;0;1;2;0
441;597979;3;0;1;2;0
442;598979;3;0;1;2;0
443;599624;2;0;1;2;0
444;599632;1;0;1;0;0
445;599651;2;0;1;0;0
446;599660;1;0;0;0;0
447;599982;3;0;0;0;0
448;599990;2;0;0;0;0
449;599998;1;0;1;3;0
450;600979;3;0;1;3;0
451;601979;3;0;1;3;0
452;602979;3;0;1;3;0
453;603979;3;0;1;3;0
454;604979;3;0;1;3;0
455;605979;3;0;1;3;0
456;606979;3;0;1;3;0
457;607979;3;0;1;3;0
458;608979;3;0;1;3;0
459;609979;3;0;1;3;0
460;610979;3;0;1;3;0
461;611979;3;0;1;3;0
462;612979;3;0;1;3;0
463;613979;3;0;1;3;0
464;614979;3;0;1;3;0
465;615979;3;0;1;3;0
466;616979;3;0;1;3;0
467;617979;3;0;1;3;0
468;618981;3;0;1;3;0
469;619979;3;0;1;3;0
470;620979;3;0;1;3;0
471;621979;3;0;1;3;0
472;622979;3;0;1;3;0
473;623979;3;0;1;3;0
474;624979;3;0;1;3;0
475;625979;3;0;1;3;0
476;626979;3;0;1;3;0
477;627979;3;0;1;3;0
478;628979;3;0;1;3;0
479;629981;3;0;1;3;0
480;630633;2;0;1;3;0
481;630641;1;0;1;0;0
482;630660;2;0;1;0;0
483;630669;1;0;1;4;0
484;630979;3;0;1;4;0
485;631979;3;0;1;4;0
486;632979;3;0;1;4;0
487;633979;3;0;1;4;0
488;634979;3;0;1;4;0
489;635979;3;0;1;4;0
490;636979;3;0;1;4;0
491;637981;3;0;1;4;0
492;638979;3;0;1;4;0
493;639979;3;0;1;4;0
494;640979;3;0;1;4;0
495;641979;3;0;1;4;0
496;642979;3;0;1;4;0
497;643979;3;0;1;4;0
498;644979;3;0;1;4;0
