idx,t_us,evt,core,prio,task_id,aux,evt_name
146,49737970,3,0,0,0,0,TICK
147,49738972,3,0,0,0,0,TICK
148,49738980,2,0,0,0,0,SW_OUT
149,49738989,1,0,1,0,0,SW_IN
150,49741877,3,0,1,0,0,TICK
151,49741887,3,0,1,0,0,TICK
152,49741972,3,0,1,0,0,TICK
153,49741982,2,0,1,0,0,SW_OUT
154,49741991,1,0,1,1,0,SW_IN
155,49742969,3,0,1,1,0,TICK
156,49743972,3,0,1,1,0,TICK
157,49743979,2,0,1,1,0,SW_OUT
158,49743987,1,0,1,2,0,SW_IN
159,49744969,3,0,1,2,0,TICK
160,49744977,2,0,1,2,0,SW_OUT
161,49744985,1,0,1,1,0,SW_IN
162,49745969,3,0,1,1,0,TICK
163,49745977,2,0,1,1,0,SW_OUT
164,49745984,1,0,1,2,0,SW_IN
165,49746972,3,0,1,2,0,TICK
166,49746979,2,0,1,2,0,SW_OUT
167,49746987,1,0,1,1,0,SW_IN
168,49747969,3,0,1,1,0,TICK
169,49747977,2,0,1,1,0,SW_OUT
170,49747984,1,0,1,3,0,SW_IN
171,49748969,3,0,1,3,0,TICK
172,49748977,2,0,1,3,0,SW_OUT
173,49748985,1,0,1,2,0,SW_IN
174,49749969,3,0,1,2,0,TICK
175,49749977,2,0,1,2,0,SW_OUT
176,49749985,1,0,1,1,0,SW_IN
177,49750972,3,0,1,1,0,TICK
178,49750979,2,0,1,1,0,SW_OUT
179,49750987,1,0,1,3,0,SW_IN
180,49751969,3,0,1,3,0,TICK
181,49751977,2,0,1,3,0,SW_OUT
182,49751985,1,0,1,2,0,SW_IN
183,49752969,3,0,1,2,0,TICK
184,49752977,2,0,1,2,0,SW_OUT
185,49752985,1,0,1,4,0,SW_IN
186,49753969,3,0,1,4,0,TICK
187,49753977,2,0,1,4,0,SW_OUT
188,49753986,1,0,1,1,0,SW_IN
189,49754969,3,0,1,1,0,TICK
190,49754977,2,0,1,1,0,SW_OUT
191,49754984,1,0,1,3,0,SW_IN
192,49755972,3,0,1,3,0,TICK
193,49755979,2,0,1,3,0,SW_OUT
194,49755987,1,0,1,2,0,SW_IN
195,49756969,3,0,1,2,0,TICK
196,49756977,2,0,1,2,0,SW_OUT
197,49756985,1,0,1,4,0,SW_IN
198,49757969,3,0,1,4,0,TICK
199,49757977,2,0,1,4,0,SW_OUT
200,49757986,1,0,1,1,0,SW_IN
201,49758969,3,0,1,1,0,TICK
202,49758977,2,0,1,1,0,SW_OUT
203,49758984,1,0,1,5,0,SW_IN
204,49759969,3,0,1,5,0,TICK
205,49759978,2,0,1,5,0,SW_OUT
206,49759986,1,0,1,3,0,SW_IN
207,49760969,3,0,1,3,0,TICK
208,49760977,2,0,1,3,0,SW_OUT
209,49760985,1,0,1,2,0,SW_IN
210,49761969,3,0,1,2,0,TICK
211,49761977,2,0,1,2,0,SW_OUT
212,49761985,1,0,1,4,0,SW_IN
213,49762969,3,0,1,4,0,TICK
214,49762977,2,0,1,4,0,SW_OUT
215,49762986,1,0,1,1,0,SW_IN
216,49763969,3,0,1,1,0,TICK
217,49763977,2,0,1,1,0,SW_OUT
218,49763984,1,0,1,5,0,SW_IN
219,49764969,3,0,1,5,0,TICK
220,49764977,2,0,1,5,0,SW_OUT
221,49764986,1,0,1,3,0,SW_IN
222,49765969,3,0,1,3,0,TICK
223,49765977,2,0,1,3,0,SW_OUT
224,49765985,1,0,1,2,0,SW_IN
225,49766969,3,0,1,2,0,TICK
226,49766977,2,0,1,2,0,SW_OUT
227,49766985,1,0,1,4,0,SW_IN
228,49767969,3,0,1,4,0,TICK
229,49767977,2,0,1,4,0,SW_OUT
230,49767986,1,0,1,1,0,SW_IN
231,49768641,2,0,1,1,0,SW_OUT
232,49768649,1,0,1,5,0,SW_IN
233,49768969,3,0,1,5,0,TICK
234,49768978,2,0,1,5,0,SW_OUT
235,49768986,1,0,1,3,0,SW_IN
236,49769969,3,0,1,3,0,TICK
237,49769977,2,0,1,3,0,SW_OUT
238,49769985,1,0,1,2,0,SW_IN
239,49770969,3,0,1,2,0,TICK
240,49770977,2,0,1,2,0,SW_OUT
241,49770985,1,0,1,4,0,SW_IN
242,49771969,3,0,1,4,0,TICK
243,49771977,2,0,1,4,0,SW_OUT
244,49771986,1,0,1,5,0,SW_IN
245,49772969,3,0,1,5,0,TICK
246,49772977,2,0,1,5,0,SW_OUT
247,49772986,1,0,1,3,0,SW_IN
248,49773969,3,0,1,3,0,TICK
249,49773977,2,0,1,3,0,SW_OUT
250,49773985,1,0,1,2,0,SW_IN
251,49774653,2,0,1,2,0,SW_OUT
252,49774661,1,0,1,4,0,SW_IN
253,49774969,3,0,1,4,0,TICK
254,49774977,2,0,1,4,0,SW_OUT
255,49774986,1,0,1,5,0,SW_IN
256,49775969,3,0,1,5,0,TICK
257,49775978,2,0,1,5,0,SW_OUT
258,49775986,1,0,1,3,0,SW_IN
259,49776969,3,0,1,3,0,TICK
260,49776977,2,0,1,3,0,SW_OUT
261,49776985,1,0,1,4,0,SW_IN
262,49777969,3,0,1,4,0,TICK
263,49777977,2,0,1,4,0,SW_OUT
264,49777986,1,0,1,5,0,SW_IN
265,49778969,3,0,1,5,0,TICK
266,49778977,2,0,1,5,0,SW_OUT
267,49778986,1,0,1,3,0,SW_IN
268,49779657,2,0,1,3,0,SW_OUT
269,49779665,1,0,1,4,0,SW_IN
270,49779969,3,0,1,4,0,TICK
271,49779977,2,0,1,4,0,SW_OUT
272,49779986,1,0,1,5,0,SW_IN
273,49780969,3,0,1,5,0,TICK
274,49780978,2,0,1,5,0,SW_OUT
275,49780986,1,0,1,4,0,SW_IN
276,49781969,3,0,1,4,0,TICK
277,49781977,2,0,1,4,0,SW_OUT
278,49781986,1,0,1,5,0,SW_IN
