idx;t_us;evt;core;prio;task_id;aux
0;114980;3;0;1;0;0
1;115219;2;0;1;0;0
2;115228;1;0;0;0;0
3;115980;3;0;0;0;0
4;116980;3;0;0;0;0
5;117980;3;0;0;0;0
6;118980;3;0;0;0;0
7;119980;3;0;0;0;0
8;120980;3;0;0;0;0
9;121980;3;0;0;0;0
10;122980;3;0;0;0;0
11;123980;3;0;0;0;0
12;124980;3;0;0;0;0
13;125980;3;0;0;0;0
14;126980;3;0;0;0;0
15;127980;3;0;0;0;0
16;128980;3;0;0;0;0
17;129980;3;0;0;0;0
18;130980;3;0;0;0;0
19;131980;3;0;0;0;0
20;132980;3;0;0;0;0
21;133980;3;0;0;0;0
22;134982;3;0;0;0;0
23;134989;2;0;0;0;0
24;134998;1;0;1;0;0
25;135017;2;0;1;0;0
26;135025;1;0;0;0;0
27;135980;3;0;0;0;0
28;136980;3;0;0;0;0
29;137980;3;0;0;0;0
30;138980;3;0;0;0;0
31;139980;3;0;0;0;0
32;140980;3;0;0;0;0
33;141980;3;0;0;0;0
34;142980;3;0;0;0;0
35;143980;3;0;0;0;0
36;144980;3;0;0;0;0
37;145980;3;0;0;0;0
38;146980;3;0;0;0;0
39;147980;3;0;0;0;0
40;148980;3;0;0;0;0
41;149980;3;0;0;0;0
42;150980;3;0;0;0;0
43;151980;3;0;0;0;0
44;152980;3;0;0;0;0
45;153980;3;0;0;0;0
46;154982;3;0;0;0;0
47;154989;2;0;0;0;0
48;154998;1;0;1;0;0
49;155017;2;0;1;0;0
50;155025;1;0;0;0;0
51;155980;3;0;0;0;0
52;156980;3;0;0;0;0
53;157980;3;0;0;0;0
54;158980;3;0;0;0;0
55;159980;3;0;0;0;0
56;160980;3;0;0;0;0
57;161980;3;0;0;0;0
58;162980;3;0;0;0;0
59;163980;3;0;0;0;0
60;164980;3;0;0;0;0
61;165980;3;0;0;0;0
62;166980;3;0;0;0;0
63;167980;3;0;0;0;0
64;168980;3;0;0;0;0
65;169980;3;0;0;0;0
66;170980;3;0;0;0;0
67;171980;3;0;0;0;0
68;172980;3;0;0;0;0
69;173980;3;0;0;0;0
70;174982;3;0;0;0;0
71;174989;2;0;0;0;0
72;174998;1;0;1;0;0
73;175017;2;0;1;0;0
