idx;t_us;evt;core;prio;task_id;aux
0;125177;2;0;1;0;0
1;125185;1;0;1;1;0
2;125995;3;0;1;1;0
3;126002;2;0;1;1;0
4;126009;1;0;1;3;0
5;126995;3;0;1;3;0
6;127002;2;0;1;3;0
7;127010;1;0;1;4;0
8;127995;3;0;1;4;0
9;128003;2;0;1;4;0
10;128010;1;0;1;5;0
11;128995;3;0;1;5;0
12;129003;2;0;1;5;0
13;129011;1;0;1;1;0
14;129995;3;0;1;1;0
15;130002;2;0;1;1;0
16;130009;1;0;1;3;0
17;130995;3;0;1;3;0
18;131002;2;0;1;3;0
19;131010;1;0;1;4;0
20;131995;3;0;1;4;0
21;132003;2;0;1;4;0
22;132010;1;0;1;5;0
23;132995;3;0;1;5;0
24;133003;2;0;1;5;0
25;133011;1;0;1;1;0
26;133995;3;0;1;1;0
27;134002;2;0;1;1;0
28;134009;1;0;1;3;0
29;134995;3;0;1;3;0
30;135002;2;0;1;3;0
31;135010;1;0;1;4;0
32;135995;3;0;1;4;0
33;136003;2;0;1;4;0
34;136010;1;0;1;5;0
35;136995;3;0;1;5;0
36;137003;2;0;1;5;0
37;137011;1;0;1;1;0
38;137995;3;0;1;1;0
39;138002;2;0;1;1;0
40;138009;1;0;1;3;0
41;138995;3;0;1;3;0
42;139002;2;0;1;3;0
43;139010;1;0;1;4;0
44;139995;3;0;1;4;0
45;140003;2;0;1;4;0
46;140010;1;0;1;5;0
47;140995;3;0;1;5;0
48;141003;2;0;1;5;0
49;141011;1;0;1;1;0
50;141995;3;0;1;1;0
51;142002;2;0;1;1;0
52;142009;1;0;1;3;0
53;142995;3;0;1;3;0
54;143002;2;0;1;3;0
55;143010;1;0;1;4;0
56;143995;3;0;1;4;0
57;144003;2;0;1;4;0
58;144010;1;0;1;5;0
59;144997;3;0;1;5;0
60;145005;2;0;1;5;0
61;145013;1;0;1;1;0
62;145995;3;0;1;1;0
63;146002;2;0;1;1;0
64;146009;1;0;1;3;0
65;146995;3;0;1;3;0
66;147002;2;0;1;3;0
67;147010;1;0;1;4;0
68;147995;3;0;1;4;0
69;148003;2;0;1;4;0
70;148010;1;0;1;0;0
71;148030;2;0;1;0;0
72;148038;1;0;1;5;0
73;148995;3;0;1;5;0
74;149003;2;0;1;5;0
75;149011;1;0;1;1;0
76;149995;3;0;1;1;0
77;150002;2;0;1;1;0
78;150009;1;0;1;3;0
79;150995;3;0;1;3;0
80;151002;2;0;1;3;0
81;151010;1;0;1;4;0
82;151995;3;0;1;4;0
83;152003;2;0;1;4;0
84;152010;1;0;1;5;0
85;152995;3;0;1;5;0
86;153003;2;0;1;5;0
87;153011;1;0;1;1;0
88;153995;3;0;1;1;0
89;154002;2;0;1;1;0
90;154009;1;0;1;3;0
91;154995;3;0;1;3;0
92;155002;2;0;1;3;0
93;155010;1;0;1;4;0
94;155995;3;0;1;4;0
95;156003;2;0;1;4;0
96;156010;1;0;1;5;0
97;156995;3;0;1;5;0
98;157003;2;0;1;5;0
99;157011;1;0;1;1;0
100;157995;3;0;1;1;0
101;158002;2;0;1;1;0
102;158009;1;0;1;3;0
103;158995;3;0;1;3;0
104;159002;2;0;1;3;0
105;159010;1;0;1;4;0
106;159995;3;0;1;4;0
107;160003;2;0;1;4;0
108;160010;1;0;1;5;0
109;160995;3;0;1;5;0
110;161003;2;0;1;5;0
111;161011;1;0;1;1;0
112;161995;3;0;1;1;0
113;162002;2;0;1;1;0
114;162009;1;0;1;3;0
115;162995;3;0;1;3;0
116;163002;2;0;1;3;0
117;163010;1;0;1;4;0
118;163995;3;0;1;4;0
119;164003;2;0;1;4;0
120;164010;1;0;1;5;0
121;164995;3;0;1;5;0
122;165003;2;0;1;5;0
123;165011;1;0;1;1;0
124;165995;3;0;1;1;0
125;166002;2;0;1;1;0
126;166009;1;0;1;3;0
127;166995;3;0;1;3;0
128;167002;2;0;1;3;0
129;167010;1;0;1;4;0
130;167997;3;0;1;4;0
131;168005;2;0;1;4;0
132;168013;1;0;1;5;0
133;168995;3;0;1;5;0
134;169003;2;0;1;5;0
135;169011;1;0;1;1;0
136;169995;3;0;1;1;0
137;170002;2;0;1;1;0
138;170009;1;0;1;3;0
139;170995;3;0;1;3;0
140;171002;2;0;1;3;0
141;171010;1;0;1;0;0
142;171029;2;0;1;0;0
143;171037;1;0;1;4;0
144;171995;3;0;1;4;0
145;172003;2;0;1;4;0
146;172010;1;0;1;5;0
147;172995;3;0;1;5;0
148;173003;2;0;1;5;0
149;173011;1;0;1;1;0
150;173995;3;0;1;1;0
151;174002;2;0;1;1;0
152;174009;1;0;1;3;0
153;174995;3;0;1;3;0
154;175002;2;0;1;3;0
155;175010;1;0;1;4;0
156;175995;3;0;1;4;0
157;176003;2;0;1;4;0
158;176010;1;0;1;5;0
159;176995;3;0;1;5;0
160;177003;2;0;1;5;0
161;177011;1;0;1;1;0
162;177995;3;0;1;1;0
163;178002;2;0;1;1;0
164;178009;1;0;1;3;0
165;178995;3;0;1;3;0
166;179002;2;0;1;3;0
167;179010;1;0;1;4;0
168;179995;3;0;1;4;0
169;180003;2;0;1;4;0
170;180010;1;0;1;5;0
171;180995;3;0;1;5;0
172;181003;2;0;1;5;0
173;181011;1;0;1;1;0
174;181995;3;0;1;1;0
175;182002;2;0;1;1;0
176;182009;1;0;1;3;0
177;182995;3;0;1;3;0
178;183002;2;0;1;3;0
179;183010;1;0;1;4;0
180;183995;3;0;1;4;0
181;184003;2;0;1;4;0
182;184010;1;0;1;5;0
183;184995;3;0;1;5;0
184;185003;2;0;1;5;0
185;185011;1;0;1;1;0
186;185995;3;0;1;1;0
187;186002;2;0;1;1;0
188;186009;1;0;1;3;0
189;186995;3;0;1;3;0
190;187002;2;0;1;3;0
191;187010;1;0;1;4;0
192;187995;3;0;1;4;0
193;188003;2;0;1;4;0
194;188010;1;0;1;5;0
195;188995;3;0;1;5;0
196;189003;2;0;1;5;0
197;189011;1;0;1;1;0
198;189995;3;0;1;1;0
199;190002;2;0;1;1;0
200;190009;1;0;1;3;0
201;190997;3;0;1;3;0
202;191004;2;0;1;3;0
203;191012;1;0;1;4;0
204;191995;3;0;1;4;0
205;192003;2;0;1;4;0
206;192010;1;0;1;5;0
207;192995;3;0;1;5;0
208;193003;2;0;1;5;0
209;193011;1;0;1;1;0
210;193995;3;0;1;1;0
211;194002;2;0;1;1;0
212;194009;1;0;1;0;0
213;194028;2;0;1;0;0
214;194037;1;0;1;3;0
215;194995;3;0;1;3;0
216;195002;2;0;1;3;0
217;195010;1;0;1;4;0
218;195995;3;0;1;4;0
219;196003;2;0;1;4;0
220;196010;1;0;1;5;0
221;196995;3;0;1;5;0
222;197003;2;0;1;5;0
223;197011;1;0;1;1;0
224;197995;3;0;1;1;0
225;198002;2;0;1;1;0
226;198009;1;0;1;3;0
227;198995;3;0;1;3;0
228;199002;2;0;1;3;0
